event-id,visible,timestamp,location-long,location-lat,external-temperature,ground-speed,heading,height-above-msl,gls:light-level,sensor-type,individual-taxon-canonical-name,tag-local-identifier,individual-local-identifier,study-name
18557550079,TRUE,58:24.0,-84.5406848,47.3341088,20.2,15.8,358.8,602.1,8589,gps,Buteo jamaicensis,7507,MACK07,Full cycle migration of RTHA through the Great Lakes
18557550080,TRUE,58:51.0,-84.5405568,47.3378816,20.2,16.6,352.2,572.7,8589,gps,Buteo jamaicensis,7507,MACK07,Full cycle migration of RTHA through the Great Lakes
18557550081,TRUE,59:53.0,-84.5430848,47.3426944,19.6,16.1,8,545.1,10285,gps,Buteo jamaicensis,7507,MACK07,Full cycle migration of RTHA through the Great Lakes
18557550082,TRUE,00:52.0,-84.5478144,47.3471072,19.5,14.1,342.1,537.4,11566,gps,Buteo jamaicensis,7507,MACK07,Full cycle migration of RTHA through the Great Lakes
18557550083,TRUE,01:53.0,-84.547552,47.3481664,19.8,8.4,108,569,4100,gps,Buteo jamaicensis,7507,MACK07,Full cycle migration of RTHA through the Great Lakes
18557550084,TRUE,02:52.0,-84.5464576,47.3495872,20.1,9.5,111.7,689.4,6212,gps,Buteo jamaicensis,7507,MACK07,Full cycle migration of RTHA through the Great Lakes
18557550085,TRUE,03:52.0,-84.5476224,47.3524224,20,14.2,340.8,717.3,9263,gps,Buteo jamaicensis,7507,MACK07,Full cycle migration of RTHA through the Great Lakes
18557550086,TRUE,04:52.0,-84.5521344,47.3600832,19.2,15.3,345.8,588.4,6830,gps,Buteo jamaicensis,7507,MACK07,Full cycle migration of RTHA through the Great Lakes
18557550087,TRUE,05:53.0,-84.5548032,47.3656352,18.8,5,0,586.6,9581,gps,Buteo jamaicensis,7507,MACK07,Full cycle migration of RTHA through the Great Lakes
18557550088,TRUE,06:52.0,-84.5529088,47.3666112,19.2,6.3,0,704.6,6430,gps,Buteo jamaicensis,7507,MACK07,Full cycle migration of RTHA through the Great Lakes
18557550089,TRUE,07:52.0,-84.5541888,47.3749856,18.8,11.2,343.5,601.9,7680,gps,Buteo jamaicensis,7507,MACK07,Full cycle migration of RTHA through the Great Lakes
18557550090,TRUE,08:52.0,-84.5534208,47.3792032,18.6,14.5,349.5,637.9,7328,gps,Buteo jamaicensis,7507,MACK07,Full cycle migration of RTHA through the Great Lakes
18557550091,TRUE,09:52.0,-84.555328,47.3875264,18.3,19,7.5,534.7,7548,gps,Buteo jamaicensis,7507,MACK07,Full cycle migration of RTHA through the Great Lakes
18557550092,TRUE,10:52.0,-84.5556288,47.3920064,18.3,5.5,45,635.4,9046,gps,Buteo jamaicensis,7507,MACK07,Full cycle migration of RTHA through the Great Lakes
18557550093,TRUE,11:51.0,-84.5560512,47.3983072,18.4,15,349.2,619.6,7810,gps,Buteo jamaicensis,7507,MACK07,Full cycle migration of RTHA through the Great Lakes
18557550094,TRUE,12:53.0,-84.5585408,47.4035744,18.4,16.7,352.8,580.3,8941,gps,Buteo jamaicensis,7507,MACK07,Full cycle migration of RTHA through the Great Lakes
18557550095,TRUE,13:53.0,-84.5641472,47.408624,18.5,9.4,302.1,578.4,8519,gps,Buteo jamaicensis,7507,MACK07,Full cycle migration of RTHA through the Great Lakes
18557550096,TRUE,14:52.0,-84.5704896,47.4120384,18.8,14.3,316.7,539.1,7938,gps,Buteo jamaicensis,7507,MACK07,Full cycle migration of RTHA through the Great Lakes
18557550097,TRUE,15:52.0,-84.5775424,47.4161184,19.2,6,0,534.6,12366,gps,Buteo jamaicensis,7507,MACK07,Full cycle migration of RTHA through the Great Lakes
18557550098,TRUE,16:51.0,-84.5778944,47.4201952,19.5,14.7,338.9,523.4,8008,gps,Buteo jamaicensis,7507,MACK07,Full cycle migration of RTHA through the Great Lakes
